,run_id,time_step,opinion,out_belief,in_belief,group_type,tau,alpha,participation,listened_to
0,0,0,0.6989542552042094,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
1,0,0,0.8329137928314453,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
2,0,0,0.18556053619676022,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
3,0,0,0.6770224616381606,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
4,0,0,0.5244719181609112,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
5,0,0,0.4956766489995387,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
6,0,0,0.15697420467353337,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
7,0,0,0.4664484901876009,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
8,0,0,0.903374360029628,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
9,0,0,0.24045607295644064,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
10,0,0,0.47592452218666703,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
11,0,0,0.43579610918903483,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
12,0,0,0.20573181669895982,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
13,0,0,0.7171056533730117,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
14,0,0,0.6786752289815264,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
15,0,0,0.36139622507998337,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
16,0,0,0.5479175197100337,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
17,0,0,0.5849744966635388,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
18,0,0,0.0,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
19,0,0,0.9264981887193027,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
20,0,0,0.3434882061142609,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
21,0,0,0.6207915939123163,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
22,0,0,0.2528103366112493,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
23,0,0,0.9154725625025923,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
24,0,0,0.3074413306765105,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
25,0,0,0.35950205013525915,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
26,0,0,0.26960115573418647,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
27,0,0,0.34636402476578554,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
28,0,0,0.9046998206034756,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
29,0,0,0.3545072679343565,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
30,0,0,0.07910815154553424,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
31,0,0,0.03513200788125159,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
32,0,0,0.8567031339671104,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
33,0,0,0.06183375116112727,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
34,0,0,0.7666615453781898,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
35,0,0,0.35064528036356823,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
36,0,0,0.45752739792045216,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
37,0,0,0.272446375078931,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
38,0,0,0.5473973660649645,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
39,0,0,0.7485103266365152,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
40,0,0,1.0,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
41,0,0,0.22368793053845176,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
42,0,0,0.34995553301625,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
43,0,0,0.3888099552860472,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
44,0,0,0.5206456149605578,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
45,0,0,0.0,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
46,0,0,0.8527553286617502,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
47,0,0,0.14861163645420078,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
48,0,0,0.16442730334832492,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
49,0,0,0.7787988540267199,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
50,0,0,0.5711393247477613,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
51,0,0,0.5295557494100696,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
52,0,0,0.6351816506200161,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
53,0,0,0.737986185939947,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,-1,none
54,0,0,0.0,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,-1,none
