,run_id,time_step,opinion,out_belief,in_belief,group_type,tau,alpha,participation
0,0,0,0.7304472516551932,0.2857142857142856,0.7142857142857143,treatment,0.3,0.1,0.0
1,0,0,0.24744612188351453,0.7142857142857143,0.2857142857142857,treatment,0.3,0.1,0.0
2,1,1,0.7304472516551932,0.26603658131942826,0.6704883681069371,treatment,0.3,0.1,0.3
3,1,1,0.24744612188351453,0.5476508953392518,0.22227705925090277,treatment,0.3,0.1,1.0
4,1,2,0.7304472516551932,0.26448902495882964,0.6685286550967906,treatment,0.3,0.1,0.18333333333333332
5,1,2,0.24744612188351453,0.5355860131026768,0.21412385496191338,treatment,0.3,0.1,0.95
6,1,3,0.7304472516551932,0.26342988816862817,0.6673501124907335,treatment,0.3,0.1,0.15
7,1,3,0.24744612188351453,0.5265614887184047,0.2076592019852254,treatment,0.3,0.1,0.95
8,1,4,0.7304472516551932,0.26306239990103486,0.6670236840258088,treatment,0.3,0.1,0.06666666666666667
9,1,4,0.24744612188351453,0.5198113154572122,0.20275557677885211,treatment,0.3,0.1,0.975
10,1,5,0.7304472516551932,0.262791830270775,0.6667490285172176,treatment,0.3,0.1,0.06666666666666667
11,1,5,0.24744612188351453,0.5152361995202731,0.19880163228971734,treatment,0.3,0.1,0.925
12,1,6,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.03333333333333333
13,1,6,0.24744612188351453,0.5114746967969775,0.19503878511151762,treatment,0.3,0.1,0.925
14,1,7,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
15,1,7,0.24744612188351453,0.5087543950415484,0.19220556388120377,treatment,0.3,0.1,0.9
16,1,8,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
17,1,8,0.24744612188351453,0.5065347369975258,0.19061992098989974,treatment,0.3,0.1,0.95
18,1,9,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
19,1,9,0.24744612188351453,0.5048725263333441,0.1902122220300864,treatment,0.3,0.1,1.0
20,1,10,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
21,1,10,0.24744612188351453,0.5038097570334563,0.18849782954762645,treatment,0.3,0.1,0.9
22,1,11,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
23,1,11,0.24744612188351453,0.5030358119131879,0.18607650671280368,treatment,0.3,0.1,0.85
24,1,12,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
25,1,12,0.24744612188351453,0.5022182594540151,0.185832164601531,treatment,0.3,0.1,0.975
26,1,13,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
27,1,13,0.24744612188351453,0.5016531010806687,0.18598489023648565,treatment,0.3,0.1,0.975
28,1,14,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
29,1,14,0.24744612188351453,0.501266775120661,0.18610938136215727,treatment,0.3,0.1,0.975
30,1,15,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
31,1,15,0.24744612188351453,0.5009698522911904,0.18478809276082586,treatment,0.3,0.1,0.9
32,1,16,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
33,1,16,0.24744612188351453,0.500727639625397,0.18527699362623082,treatment,0.3,0.1,0.975
34,1,17,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
35,1,17,0.24744612188351453,0.5005501222637105,0.18486325096430603,treatment,0.3,0.1,0.95
36,1,18,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
37,1,18,0.24744612188351453,0.5004387954669387,0.18438006939453994,treatment,0.3,0.1,0.825
38,1,19,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
39,1,19,0.24744612188351453,0.5003235327739259,0.1848100503708243,treatment,0.3,0.1,0.975
40,1,20,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
41,1,20,0.24744612188351453,0.5002374181458226,0.1858438073925202,treatment,0.3,0.1,1.0
42,1,21,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
43,1,21,0.24744612188351453,0.5001807903876088,0.18602130895069297,treatment,0.3,0.1,0.975
44,1,22,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
45,1,22,0.24744612188351453,0.5001367425198966,0.1868000920732549,treatment,0.3,0.1,1.0
46,1,23,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
47,1,23,0.24744612188351453,0.5001042717796663,0.18679757230457156,treatment,0.3,0.1,0.975
48,1,24,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
49,1,24,0.24744612188351453,0.5000795013667475,0.18677990631633073,treatment,0.3,0.1,0.975
50,1,25,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
51,1,25,0.24744612188351453,0.5000597489542528,0.18706220924162076,treatment,0.3,0.1,1.0
52,1,26,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
53,1,26,0.24744612188351453,0.5000468461794779,0.1865497048435214,treatment,0.3,0.1,0.925
54,1,27,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
55,1,27,0.24744612188351453,0.500035184405691,0.18646072475213415,treatment,0.3,0.1,0.975
56,1,28,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
57,1,28,0.24744612188351453,0.5000267453097804,0.18681334566382343,treatment,0.3,0.1,0.95
58,1,29,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
59,1,29,0.24744612188351453,0.5000200954955105,0.18667499830268638,treatment,0.3,0.1,0.975
60,1,30,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
61,1,30,0.24744612188351453,0.5000155901978256,0.18559222855875265,treatment,0.3,0.1,0.925
62,1,31,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
63,1,31,0.24744612188351453,0.5000117340672487,0.18560554226137504,treatment,0.3,0.1,0.95
64,1,32,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
65,1,32,0.24744612188351453,0.5000087402203965,0.1865841329753799,treatment,0.3,0.1,0.975
66,1,33,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
67,1,33,0.24744612188351453,0.5000066848779083,0.18626916767324378,treatment,0.3,0.1,0.95
68,1,34,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
69,1,34,0.24744612188351453,0.5000050810573887,0.18581513274433945,treatment,0.3,0.1,0.95
70,1,35,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
71,1,35,0.24744612188351453,0.5000038962100145,0.18568457385185114,treatment,0.3,0.1,0.925
72,1,36,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
73,1,36,0.24744612188351453,0.5000029480378986,0.18572545335608442,treatment,0.3,0.1,0.975
74,1,37,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
75,1,37,0.24744612188351453,0.5000022299947526,0.18609874987267588,treatment,0.3,0.1,0.95
76,1,38,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
77,1,38,0.24744612188351453,0.5000017163785614,0.1861591170077564,treatment,0.3,0.1,0.95
78,1,39,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
79,1,39,0.24744612188351453,0.5000012680372367,0.18688224659880906,treatment,0.3,0.1,1.0
80,1,40,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
81,1,40,0.24744612188351453,0.5000009667162444,0.1869565471569898,treatment,0.3,0.1,1.0
82,1,41,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
83,1,41,0.24744612188351453,0.5000007486172672,0.18672698174522168,treatment,0.3,0.1,0.95
84,1,42,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
85,1,42,0.24744612188351453,0.5000005753984673,0.18623121820590596,treatment,0.3,0.1,0.95
86,1,43,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
87,1,43,0.24744612188351453,0.5000004357098584,0.18600316696086686,treatment,0.3,0.1,0.925
88,1,44,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
89,1,44,0.24744612188351453,0.5000003298096839,0.18607223490906524,treatment,0.3,0.1,0.925
90,1,45,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
91,1,45,0.24744612188351453,0.5000002541322242,0.1859029600874141,treatment,0.3,0.1,0.95
92,1,46,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
93,1,46,0.24744612188351453,0.5000001880037228,0.18607670748115948,treatment,0.3,0.1,0.975
94,1,47,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
95,1,47,0.24744612188351453,0.5000001446187629,0.1857393699197564,treatment,0.3,0.1,0.95
96,1,48,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
97,1,48,0.24744612188351453,0.5000001104623616,0.1856098047425329,treatment,0.3,0.1,0.95
98,1,49,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
99,1,49,0.24744612188351453,0.5000000841509264,0.18546919823563815,treatment,0.3,0.1,0.95
100,1,50,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
101,1,50,0.24744612188351453,0.500000065090662,0.18471184366676746,treatment,0.3,0.1,0.925
102,1,51,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
103,1,51,0.24744612188351453,0.5000000500281276,0.18451875626906392,treatment,0.3,0.1,0.9
104,1,52,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
105,1,52,0.24744612188351453,0.5000000389055504,0.18395765010570103,treatment,0.3,0.1,0.875
106,1,53,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
107,1,53,0.24744612188351453,0.5000000285933065,0.18449524521760147,treatment,0.3,0.1,0.975
108,1,54,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
109,1,54,0.24744612188351453,0.5000000214172327,0.18543487585696666,treatment,0.3,0.1,1.0
110,1,55,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
111,1,55,0.24744612188351453,0.5000000166142027,0.1849849948612228,treatment,0.3,0.1,0.95
112,1,56,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
113,1,56,0.24744612188351453,0.5000000126035521,0.1854834510883013,treatment,0.3,0.1,0.975
114,1,57,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
115,1,57,0.24744612188351453,0.5000000096699573,0.18565220408370847,treatment,0.3,0.1,0.975
116,1,58,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
117,1,58,0.24744612188351453,0.5000000074100421,0.18482010538389884,treatment,0.3,0.1,0.925
118,1,59,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
119,1,59,0.24744612188351453,0.5000000056034277,0.18503588746844485,treatment,0.3,0.1,0.975
120,1,60,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
121,1,60,0.24744612188351453,0.5000000041880741,0.18607274553604497,treatment,0.3,0.1,1.0
122,1,61,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
123,1,61,0.24744612188351453,0.5000000032305533,0.18552471497729855,treatment,0.3,0.1,0.95
124,1,62,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
125,1,62,0.24744612188351453,0.5000000025022122,0.18576831831008564,treatment,0.3,0.1,0.925
126,1,63,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
127,1,63,0.24744612188351453,0.5000000019074587,0.1850106120561708,treatment,0.3,0.1,0.875
128,1,64,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
129,1,64,0.24744612188351453,0.5000000014179368,0.1855924635399472,treatment,0.3,0.1,0.975
130,1,65,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
131,1,65,0.24744612188351453,0.5000000010854617,0.18477643632831672,treatment,0.3,0.1,0.925
132,1,66,0.7304472516551932,0.2626659251812372,0.6666401342570852,treatment,0.3,0.1,0.0
133,1,66,0.24744612188351453,0.5000000008082803,0.1856748305174874,treatment,0.3,0.1,0.975
