,run_id,time_step,opinion,out_belief,in_belief,group_type,tau,alpha,participation
0,0,0,0.7531343773489106,0.2857142857142856,0.7142857142857143,control,0.3,0.1,0.0
1,0,0,0.27177970586774236,0.7142857142857143,0.2857142857142857,control,0.3,0.1,0.0
2,1,1,0.7531343773489106,0.2857142857142856,0.7258447843636994,control,0.3,0.1,0.8833333333333333
3,1,1,0.27177970586774236,0.7142857142857143,0.2771231901941947,control,0.3,0.1,0.85
4,1,2,0.7531343773489106,0.2857142857142856,0.7334674330895142,control,0.3,0.1,0.8833333333333333
5,1,2,0.27177970586774236,0.7142857142857143,0.27132219092134596,control,0.3,0.1,0.825
6,1,3,0.7531343773489106,0.2857142857142856,0.7386081605512609,control,0.3,0.1,0.9166666666666666
7,1,3,0.27177970586774236,0.7142857142857143,0.2678706043112294,control,0.3,0.1,0.875
8,1,4,0.7531343773489106,0.2857142857142856,0.7424229542524975,control,0.3,0.1,0.9166666666666666
9,1,4,0.27177970586774236,0.7142857142857143,0.2648861009745091,control,0.3,0.1,0.85
10,1,5,0.7531343773489106,0.2857142857142856,0.7454115967923276,control,0.3,0.1,0.9
11,1,5,0.27177970586774236,0.7142857142857143,0.2625081574801874,control,0.3,0.1,0.825
12,1,6,0.7531343773489106,0.2857142857142856,0.7476632602985854,control,0.3,0.1,0.8833333333333333
13,1,6,0.27177970586774236,0.7142857142857143,0.2602889568941009,control,0.3,0.1,0.8
14,1,7,0.7531343773489106,0.2857142857142856,0.7495389352489246,control,0.3,0.1,0.9
15,1,7,0.27177970586774236,0.7142857142857143,0.25885527287645727,control,0.3,0.1,0.85
16,1,8,0.7531343773489106,0.2857142857142856,0.7510584344215546,control,0.3,0.1,0.9166666666666666
17,1,8,0.27177970586774236,0.7142857142857143,0.2579972393811574,control,0.3,0.1,0.875
18,1,9,0.7531343773489106,0.2857142857142856,0.7523792642442828,control,0.3,0.1,0.9166666666666666
19,1,9,0.27177970586774236,0.7142857142857143,0.2569085888158115,control,0.3,0.1,0.825
20,1,10,0.7531343773489106,0.2857142857142856,0.7535205456979761,control,0.3,0.1,0.9166666666666666
21,1,10,0.27177970586774236,0.7142857142857143,0.2560264990982413,control,0.3,0.1,0.85
22,1,11,0.7531343773489106,0.2857142857142856,0.7546126089812062,control,0.3,0.1,0.8833333333333333
23,1,11,0.27177970586774236,0.7142857142857143,0.2550297656121223,control,0.3,0.1,0.8
24,1,12,0.7531343773489106,0.2857142857142856,0.7555262890196338,control,0.3,0.1,0.9
25,1,12,0.27177970586774236,0.7142857142857143,0.25457260007965454,control,0.3,0.1,0.85
26,1,13,0.7531343773489106,0.2857142857142856,0.7562191913978311,control,0.3,0.1,0.8833333333333333
27,1,13,0.27177970586774236,0.7142857142857143,0.25424119297069814,control,0.3,0.1,0.875
28,1,14,0.7531343773489106,0.2857142857142856,0.7571481473005002,control,0.3,0.1,0.8833333333333333
29,1,14,0.27177970586774236,0.7142857142857143,0.25395470075905907,control,0.3,0.1,0.85
30,1,15,0.7531343773489106,0.2857142857142856,0.7575724681680794,control,0.3,0.1,0.9333333333333333
31,1,15,0.27177970586774236,0.7142857142857143,0.25351889360656177,control,0.3,0.1,0.85
32,1,16,0.7531343773489106,0.2857142857142856,0.7579515713156794,control,0.3,0.1,0.9333333333333333
33,1,16,0.27177970586774236,0.7142857142857143,0.2532954450752555,control,0.3,0.1,0.875
34,1,17,0.7531343773489106,0.2857142857142856,0.7582066677443374,control,0.3,0.1,0.9166666666666666
35,1,17,0.27177970586774236,0.7142857142857143,0.2529264296959121,control,0.3,0.1,0.8
36,1,18,0.7531343773489106,0.2857142857142856,0.7587812894396977,control,0.3,0.1,0.8833333333333333
37,1,18,0.27177970586774236,0.7142857142857143,0.2525195092935025,control,0.3,0.1,0.825
38,1,19,0.7531343773489106,0.2857142857142856,0.759248697575695,control,0.3,0.1,0.8833333333333333
39,1,19,0.27177970586774236,0.7142857142857143,0.25207577174079454,control,0.3,0.1,0.825
40,1,20,0.7531343773489106,0.2857142857142856,0.7596192327127171,control,0.3,0.1,0.9
41,1,20,0.27177970586774236,0.7142857142857143,0.2520751224827822,control,0.3,0.1,0.85
42,1,21,0.7531343773489106,0.2857142857142856,0.7599175211812047,control,0.3,0.1,0.9
43,1,21,0.27177970586774236,0.7142857142857143,0.2517471493486173,control,0.3,0.1,0.825
44,1,22,0.7531343773489106,0.2857142857142856,0.7602124149832489,control,0.3,0.1,0.8833333333333333
45,1,22,0.27177970586774236,0.7142857142857143,0.251647674552355,control,0.3,0.1,0.875
46,1,23,0.7531343773489106,0.2857142857142856,0.7603885775909719,control,0.3,0.1,0.9333333333333333
47,1,23,0.27177970586774236,0.7142857142857143,0.25155602882071504,control,0.3,0.1,0.875
48,1,24,0.7531343773489106,0.2857142857142856,0.7607032688819028,control,0.3,0.1,0.9
49,1,24,0.27177970586774236,0.7142857142857143,0.2513270414847384,control,0.3,0.1,0.85
50,1,25,0.7531343773489106,0.2857142857142856,0.761105483609866,control,0.3,0.1,0.8666666666666667
51,1,25,0.27177970586774236,0.7142857142857143,0.251253611943813,control,0.3,0.1,0.875
52,1,26,0.7531343773489106,0.2857142857142856,0.7612323538305177,control,0.3,0.1,0.9333333333333333
53,1,26,0.27177970586774236,0.7142857142857143,0.2509168319421963,control,0.3,0.1,0.825
54,1,27,0.7531343773489106,0.2857142857142856,0.7616291571988467,control,0.3,0.1,0.8666666666666667
55,1,27,0.27177970586774236,0.7142857142857143,0.2508620872828042,control,0.3,0.1,0.875
56,1,28,0.7531343773489106,0.2857142857142856,0.7618207389332833,control,0.3,0.1,0.9166666666666666
57,1,28,0.27177970586774236,0.7142857142857143,0.2506542087378295,control,0.3,0.1,0.825
58,1,29,0.7531343773489106,0.2857142857142856,0.7619303410439238,control,0.3,0.1,0.9166666666666666
59,1,29,0.27177970586774236,0.7142857142857143,0.2505124325361396,control,0.3,0.1,0.85
60,1,30,0.7531343773489106,0.2857142857142856,0.761907403330702,control,0.3,0.1,0.9166666666666666
61,1,30,0.27177970586774236,0.7142857142857143,0.25031649738354106,control,0.3,0.1,0.825
62,1,31,0.7531343773489106,0.2857142857142856,0.761975554316426,control,0.3,0.1,0.9
63,1,31,0.27177970586774236,0.7142857142857143,0.2502861066300791,control,0.3,0.1,0.875
64,1,32,0.7531343773489106,0.2857142857142856,0.7620763219503353,control,0.3,0.1,0.9166666666666666
65,1,32,0.27177970586774236,0.7142857142857143,0.2500422042255946,control,0.3,0.1,0.825
66,1,33,0.7531343773489106,0.2857142857142856,0.7621512279616468,control,0.3,0.1,0.9333333333333333
67,1,33,0.27177970586774236,0.7142857142857143,0.24999469710579314,control,0.3,0.1,0.85
68,1,34,0.7531343773489106,0.2857142857142856,0.7623596608453211,control,0.3,0.1,0.9
69,1,34,0.27177970586774236,0.7142857142857143,0.24997562261413425,control,0.3,0.1,0.875
70,1,35,0.7531343773489106,0.2857142857142856,0.7627485323209373,control,0.3,0.1,0.85
71,1,35,0.27177970586774236,0.7142857142857143,0.24995758967343548,control,0.3,0.1,0.875
72,1,36,0.7531343773489106,0.2857142857142856,0.7629036998303518,control,0.3,0.1,0.9
