,run_id,time_step,opinion,out_belief,in_belief,group_type,tau,alpha,participation
0,0,0,0.7522658164341582,0.2857142857142856,0.7142857142857143,control,0.3,0.3,0.0
1,0,0,0.23851603628798673,0.7142857142857143,0.2857142857142857,control,0.3,0.3,0.0
2,1,1,0.7522658164341582,0.2686193997604462,0.7316277091343315,control,0.3,0.3,0.45
3,1,1,0.23851603628798673,0.7325911532925881,0.26766968387412177,control,0.3,0.3,0.475
4,1,2,0.7522658164341582,0.25892249073562246,0.7425792684726454,control,0.3,0.3,0.35
5,1,2,0.23851603628798673,0.744814748077989,0.2568626606228152,control,0.3,0.3,0.4
6,1,3,0.7522658164341582,0.2524015761413737,0.749212030620392,control,0.3,0.3,0.26666666666666666
7,1,3,0.23851603628798673,0.7508979744164479,0.25088412410190253,control,0.3,0.3,0.25
8,1,4,0.7522658164341582,0.24667618432330354,0.7543354972685742,control,0.3,0.3,0.26666666666666666
9,1,4,0.23851603628798673,0.7541326271967852,0.24726183148247757,control,0.3,0.3,0.175
10,1,5,0.7522658164341582,0.2428752165684906,0.7578930887687495,control,0.3,0.3,0.21666666666666667
11,1,5,0.23851603628798673,0.7565050511617812,0.24472321409026332,control,0.3,0.3,0.15
12,1,6,0.7522658164341582,0.24011443149300063,0.76056891455368,control,0.3,0.3,0.2
13,1,6,0.23851603628798673,0.7584453996498495,0.24271904246483098,control,0.3,0.3,0.15
14,1,7,0.7522658164341582,0.2379124812863617,0.7626146814239629,control,0.3,0.3,0.18333333333333332
15,1,7,0.23851603628798673,0.7597975662212786,0.24126131523782143,control,0.3,0.3,0.125
16,1,8,0.7522658164341582,0.23631342892461715,0.7640763872116898,control,0.3,0.3,0.15
17,1,8,0.23851603628798673,0.7607594148549304,0.24020857941439128,control,0.3,0.3,0.1
18,1,9,0.7522658164341582,0.2351203266286882,0.7651534791926115,control,0.3,0.3,0.13333333333333333
19,1,9,0.23851603628798673,0.7615572860763716,0.23932428132271003,control,0.3,0.3,0.1
20,1,10,0.7522658164341582,0.23408405884768763,0.7661313044008039,control,0.3,0.3,0.13333333333333333
21,1,10,0.23851603628798673,0.7622680829236013,0.2385709903557222,control,0.3,0.3,0.1
22,1,11,0.7522658164341582,0.2333018472207691,0.7668893157886493,control,0.3,0.3,0.11666666666666667
23,1,11,0.23851603628798673,0.7628975532519929,0.2379216015910776,control,0.3,0.3,0.1
24,1,12,0.7522658164341582,0.2328165513160078,0.7673900252185696,control,0.3,0.3,0.08333333333333333
25,1,12,0.23851603628798673,0.7634823332707086,0.23735600492509684,control,0.3,0.3,0.1
26,1,13,0.7522658164341582,0.23239092554211316,0.7678291756866297,control,0.3,0.3,0.08333333333333333
27,1,13,0.23851603628798673,0.7639962308629131,0.23685896543075008,control,0.3,0.3,0.1
28,1,14,0.7522658164341582,0.23201459563925064,0.7682174687708196,control,0.3,0.3,0.08333333333333333
29,1,14,0.23851603628798673,0.7644513973017227,0.23641873045004297,control,0.3,0.3,0.1
30,1,15,0.7522658164341582,0.23165462395379402,0.768563260061867,control,0.3,0.3,0.08333333333333333
31,1,15,0.23851603628798673,0.7647558667438996,0.23610214746705788,control,0.3,0.3,0.075
32,1,16,0.7522658164341582,0.2313320080037244,0.7688731689375504,control,0.3,0.3,0.08333333333333333
33,1,16,0.23851603628798673,0.7650291085509814,0.23581803453360978,control,0.3,0.3,0.075
34,1,17,0.7522658164341582,0.23109819393264114,0.7691021379267738,control,0.3,0.3,0.06666666666666667
35,1,17,0.23851603628798673,0.765280609877197,0.23556163993513227,control,0.3,0.3,0.075
36,1,18,0.7522658164341582,0.2309380917899149,0.769261099462269,control,0.3,0.3,0.05
37,1,18,0.23851603628798673,0.7655120520014007,0.23532909599697813,control,0.3,0.3,0.075
38,1,19,0.7522658164341582,0.23079245557111608,0.7694056991522557,control,0.3,0.3,0.05
39,1,19,0.23851603628798673,0.7657229214923417,0.23511722263110446,control,0.3,0.3,0.075
40,1,20,0.7522658164341582,0.23074937966221504,0.7694516035260731,control,0.3,0.3,0.016666666666666666
41,1,20,0.23851603628798673,0.7659294911745199,0.23492338104104976,control,0.3,0.3,0.075
42,1,21,0.7522658164341582,0.23070982015404062,0.7694937606040686,control,0.3,0.3,0.016666666666666666
43,1,21,0.23851603628798673,0.7661191980255,0.23474536325426493,control,0.3,0.3,0.075
44,1,22,0.7522658164341582,0.2306733633523897,0.7695326112445744,control,0.3,0.3,0.016666666666666666
45,1,22,0.23851603628798673,0.7662940259077757,0.23458130764683566,control,0.3,0.3,0.075
46,1,23,0.7522658164341582,0.2306733633523897,0.7695326112445744,control,0.3,0.3,0.0
47,1,23,0.23851603628798673,0.7645263373337186,0.23447595809145433,control,0.3,0.3,0.05
48,1,24,0.7522658164341582,0.2306733633523897,0.7695326112445744,control,0.3,0.3,0.0
49,1,24,0.23851603628798673,0.7628872079286836,0.2343782703219189,control,0.3,0.3,0.05
50,1,25,0.7522658164341582,0.2306733633523897,0.7695326112445744,control,0.3,0.3,0.0
51,1,25,0.23851603628798673,0.7613631051485634,0.23428743783445616,control,0.3,0.3,0.05
52,1,26,0.7522658164341582,0.2306733633523897,0.7695326112445744,control,0.3,0.3,0.0
53,1,26,0.23851603628798673,0.7599423313704853,0.23420276348173666,control,0.3,0.3,0.05
54,1,27,0.7522658164341582,0.2306733633523897,0.7695326112445744,control,0.3,0.3,0.0
55,1,27,0.23851603628798673,0.7586147230860516,0.2341236415455889,control,0.3,0.3,0.05
56,1,28,0.7522658164341582,0.2306733633523897,0.7695326112445744,control,0.3,0.3,0.0
