,run_id,time_step,opinion,out_belief,in_belief,group_type,tau,alpha,participation
0,0,0,0.6730228875392001,0.375,0.625,treatment,0.1,0.6,0.0
1,0,0,0.33966215052932447,0.625,0.375,treatment,0.1,0.6,0.0
2,1,1,0.6730228875392001,0.3107494125058996,0.7716448703838197,treatment,0.1,0.6,0.8775510204081632
3,1,1,0.33966215052932447,0.7724380255181278,0.3103991077350759,treatment,0.1,0.6,0.8823529411764706
4,1,2,0.6730228875392001,0.26996355666302957,0.7720139985584652,treatment,0.1,0.6,0.8775510204081632
5,1,2,0.33966215052932447,0.7728029874280141,0.2693909212286829,treatment,0.1,0.6,0.8823529411764706
6,1,3,0.6730228875392001,0.25379375838225815,0.7757469656320799,treatment,0.1,0.6,0.8979591836734694
7,1,3,0.33966215052932447,0.7732024766409438,0.25589162924076303,treatment,0.1,0.6,0.8823529411764706
8,1,4,0.6730228875392001,0.18699581815973307,0.7760478401165116,treatment,0.1,0.6,0.8979591836734694
9,1,4,0.33966215052932447,0.7766965514830975,0.18616347164591696,treatment,0.1,0.6,0.9019607843137255
10,1,5,0.6730228875392001,0.16942881084877434,0.7763105688487475,treatment,0.1,0.6,0.8979591836734694
11,1,5,0.33966215052932447,0.7801216423976459,0.16408572863964366,treatment,0.1,0.6,0.9215686274509803
12,1,6,0.6730228875392001,0.18549445393756192,0.7764925285891872,treatment,0.1,0.6,0.8979591836734694
13,1,6,0.33966215052932447,0.7802898012718944,0.18059748689284316,treatment,0.1,0.6,0.9215686274509803
14,1,7,0.6730228875392001,0.16897007170835043,0.7766983975098035,treatment,0.1,0.6,0.8979591836734694
15,1,7,0.33966215052932447,0.7804265039155316,0.16444099476014032,treatment,0.1,0.6,0.8823529411764706
16,1,8,0.6730228875392001,0.18560375436374,0.7768787441403039,treatment,0.1,0.6,0.8979591836734694
17,1,8,0.33966215052932447,0.7805411505685325,0.18086524850596103,treatment,0.1,0.6,0.8823529411764706
18,1,9,0.6730228875392001,0.1690245867283513,0.7770313873123567,treatment,0.1,0.6,0.8979591836734694
19,1,9,0.33966215052932447,0.7806310885919738,0.16465273104376374,treatment,0.1,0.6,0.8823529411764706
20,1,10,0.6730228875392001,0.18513265127049733,0.7770725761557212,treatment,0.1,0.6,0.8979591836734694
21,1,10,0.33966215052932447,0.7808373096108656,0.18022962370163118,treatment,0.1,0.6,0.9215686274509803
22,1,11,0.6730228875392001,0.16864711350355155,0.7771958041691606,treatment,0.1,0.6,0.8979591836734694
23,1,11,0.33966215052932447,0.7840501700436392,0.15930411292791088,treatment,0.1,0.6,0.9215686274509803
24,1,12,0.6730228875392001,0.18535671639787668,0.7772601396059485,treatment,0.1,0.6,0.8979591836734694
25,1,12,0.33966215052932447,0.7840514000584179,0.17618562511934663,treatment,0.1,0.6,0.9019607843137255
26,1,13,0.6730228875392001,0.1687829527895714,0.777296595460099,treatment,0.1,0.6,0.8979591836734694
27,1,13,0.33966215052932447,0.7840532340106032,0.15994045138788512,treatment,0.1,0.6,0.9019607843137255
28,1,14,0.6730228875392001,0.1851766701533497,0.7773541804678763,treatment,0.1,0.6,0.8979591836734694
29,1,14,0.33966215052932447,0.7841836063358326,0.1759528614433779,treatment,0.1,0.6,0.9215686274509803
30,1,15,0.6730228875392001,0.16878116549575545,0.7773954556659555,treatment,0.1,0.6,0.8979591836734694
31,1,15,0.33966215052932447,0.7841651706658073,0.15957734476500549,treatment,0.1,0.6,0.9019607843137255
32,1,16,0.6730228875392001,0.18536334834259008,0.7774216613951815,treatment,0.1,0.6,0.8979591836734694
33,1,16,0.33966215052932447,0.7841853032024307,0.1762321774196935,treatment,0.1,0.6,0.9019607843137255
34,1,17,0.6730228875392001,0.16882296718697415,0.7775215068749841,treatment,0.1,0.6,0.8979591836734694
35,1,17,0.33966215052932447,0.7842279274739872,0.15970979417446707,treatment,0.1,0.6,0.9019607843137255
36,1,18,0.6730228875392001,0.18511389792811891,0.7775713275176248,treatment,0.1,0.6,0.8979591836734694
37,1,18,0.33966215052932447,0.7843268789464733,0.1760126457886384,treatment,0.1,0.6,0.9215686274509803
38,1,19,0.6730228875392001,0.16859584535244632,0.7776010289091799,treatment,0.1,0.6,0.8979591836734694
39,1,19,0.33966215052932447,0.7843000670739215,0.15951177847639644,treatment,0.1,0.6,0.9019607843137255
40,1,20,0.6730228875392001,0.1852727264259519,0.7775880765429476,treatment,0.1,0.6,0.8979591836734694
41,1,20,0.33966215052932447,0.7842835110580292,0.17628164755747996,treatment,0.1,0.6,0.9215686274509803
42,1,21,0.6730228875392001,0.16871957734868875,0.7776536868543905,treatment,0.1,0.6,0.8979591836734694
43,1,21,0.33966215052932447,0.7842662185328421,0.1601399905149558,treatment,0.1,0.6,0.8823529411764706
44,1,22,0.6730228875392001,0.1853555137114665,0.7776630029422391,treatment,0.1,0.6,0.8979591836734694
45,1,22,0.33966215052932447,0.7842492223966664,0.17653196221007264,treatment,0.1,0.6,0.9019607843137255
46,1,23,0.6730228875392001,0.1687448769279572,0.7776738980240804,treatment,0.1,0.6,0.8979591836734694
47,1,23,0.33966215052932447,0.7842868488852074,0.15945510871800242,treatment,0.1,0.6,0.9215686274509803
48,2,1,0.662931701034228,0.31280109026276565,0.6868801219161946,treatment,0.1,0.6,0.8478260869565217
49,2,1,0.30881736917357555,0.6830646712944323,0.31652687092842935,treatment,0.1,0.6,0.7962962962962963
50,2,2,0.662931701034228,0.2705347650333124,0.7288886795675507,treatment,0.1,0.6,0.8695652173913043
