,run_id,time_step,opinion,out_belief,in_belief,group_type,tau,alpha,participation,listened_to
0,0,0,0.48273455287150385,0.5609016590421554,0.48459613309368155,treatment,0.2,0.5,-1,none
1,0,0,0.24332314094858154,0.7703969882591599,0.3046870557446966,treatment,0.2,0.5,-1,none
2,0,0,0.48267566978008136,0.6390045699588894,0.49,treatment,0.2,0.5,-1,none
3,0,0,0.37112195223137023,0.7424042667663258,0.4338142504205857,treatment,0.2,0.5,-1,none
4,0,0,0.2444975865896406,0.6216525909966769,0.22725761194558539,treatment,0.2,0.5,-1,none
5,0,0,0.4682957090029541,0.604573798606912,0.38299471471243823,treatment,0.2,0.5,-1,none
6,0,0,0.7141880892177928,0.37408576633282203,0.8841195749635959,treatment,0.2,0.5,-1,none
7,0,0,0.5323524280971669,0.14227712853339908,0.8040921073304232,treatment,0.2,0.5,-1,none
8,0,0,0.7237619168601097,0.248316314641083,0.7047732727262943,treatment,0.2,0.5,-1,none
9,0,0,0.4829329791827015,0.539656438645623,0.31367040892603054,treatment,0.2,0.5,-1,none
10,0,0,0.6321781953238722,0.33762893300756674,0.5,treatment,0.2,0.5,-1,none
11,0,0,0.4945774565560883,0.8574200665024608,0.49,treatment,0.2,0.5,-1,none
12,0,0,0.5695191687727583,0.232217825083454,0.8631044389036494,treatment,0.2,0.5,-1,none
13,0,0,0.547180762568163,0.49,0.6759465173626036,treatment,0.2,0.5,-1,none
14,0,0,0.6095459713416159,0.4832476706817866,0.539697569836987,treatment,0.2,0.5,-1,none
15,0,0,0.5858446935950453,0.3446913715379793,0.68391061219029,treatment,0.2,0.5,-1,none
16,0,0,0.43626605730834905,0.5940176809501599,0.49,treatment,0.2,0.5,-1,none
17,0,0,0.9397349195337324,0.4464221752183218,0.82941096041768,treatment,0.2,0.5,-1,none
18,0,0,0.19432622057023857,0.6449981469542277,0.13903539225898748,treatment,0.2,0.5,-1,none
19,0,0,0.990852831587435,0.43132005650180305,0.627546936361422,treatment,0.2,0.5,-1,none
20,0,0,0.7370361726573039,0.45059789702363057,0.7650599281913281,treatment,0.2,0.5,-1,none
21,0,0,0.6117257466680934,0.25352813024783727,0.8222670736782817,treatment,0.2,0.5,-1,none
22,0,0,0.5344170046441556,0.4357529213520714,0.7654449276513766,treatment,0.2,0.5,-1,none
23,0,0,0.34994936712718355,0.5,0.19291604474084534,treatment,0.2,0.5,-1,none
24,0,0,0.7449109959592378,0.3631965391286755,0.5,treatment,0.2,0.5,-1,none
25,0,0,0.6599657978972979,0.4526901980268365,0.7016867683698051,treatment,0.2,0.5,-1,none
26,0,0,0.6344657837468913,0.24453932293934633,0.6881449562361162,treatment,0.2,0.5,-1,none
27,0,0,0.5582388085556607,0.15812997695171072,0.5126776138165319,treatment,0.2,0.5,-1,none
28,0,0,0.9731453908868608,0.17813484365957116,0.7271516132798124,treatment,0.2,0.5,-1,none
29,0,0,0.7081629774310341,0.2321106170313017,0.7308084601964225,treatment,0.2,0.5,-1,none
30,0,0,0.6663640511238549,0.49,0.7116980460518569,treatment,0.2,0.5,-1,none
31,0,0,0.35619852262724694,0.5357129764556279,0.4690424987990916,treatment,0.2,0.5,-1,none
32,0,0,0.5248191836576341,0.16982508995155599,0.5,treatment,0.2,0.5,-1,none
33,0,0,0.5014760359152876,0.3560150363970901,0.5,treatment,0.2,0.5,-1,none
34,0,0,0.3304324584209912,0.642060065420806,0.49,treatment,0.2,0.5,-1,none
35,0,0,0.7708463974152427,0.3824501837630754,0.5873620909095989,treatment,0.2,0.5,-1,none
36,0,0,0.24142957142649724,0.6203565786274844,0.49,treatment,0.2,0.5,-1,none
37,0,0,0.5814493252525211,0.49,0.610911705972922,treatment,0.2,0.5,-1,none
